subject		activval		activdesc		tbodyaccmeanx		tbodyaccmeany		tbodyaccmeanz		tbodyaccstdx		tbodyaccstdy		tbodyaccstdz
 1		1		WALKING          		0.2773308		-0.017383819		-0.11114810		-0.283740259		 0.114461337		-0.26002790
 1		2		WALKINGUPSTAIRS  		0.2554617		-0.023953149		-0.09730200		-0.354708025		-0.002320265		-0.01947924
 1		3		WALKINGDOWNSTAIRS		0.2891883		-0.009918505		-0.10756619		 0.030035338		-0.031935943		-0.23043421
 1		4		SITTING          		0.2612376		-0.001308288		-0.10454418		-0.977229008		-0.922618642		-0.93958629
 1		5		STANDING         		0.2789176		-0.016137590		-0.11060182		-0.995759902		-0.973190056		-0.97977588
 1		6		LAYING           		0.2215982		-0.040513953		-0.11320355		-0.928056469		-0.836827406		-0.82606140
 2		1		WALKING          		0.2764266		-0.018594920		-0.10550036		-0.423642838		-0.078091253		-0.42525752
 2		2		WALKINGUPSTAIRS  		0.2471648		-0.021412113		-0.15251390		-0.304376406		 0.108027280		-0.11212102
 2		3		WALKINGDOWNSTAIRS		0.2776153		-0.022661416		-0.11681294		 0.046366681		 0.262881789		-0.10283791
 2		4		SITTING          		0.2770874		-0.015687994		-0.10921827		-0.986822280		-0.950704499		-0.95982817
 2		5		STANDING         		0.2779115		-0.018420827		-0.10590854		-0.987271889		-0.957304989		-0.94974185
 2		6		LAYING           		0.2813734		-0.018158740		-0.10724561		-0.974059465		-0.980277399		-0.98423330
 3		1		WALKING          		0.2755675		-0.017176784		-0.11267486		-0.360356726		-0.069914065		-0.38741199
 3		2		WALKINGUPSTAIRS  		0.2608199		-0.032410941		-0.11006486		-0.313123438		 0.011628081		-0.36975460
 3		3		WALKINGDOWNSTAIRS		0.2924235		-0.019355408		-0.11613984		-0.057410048		-0.033150372		-0.36224025
 3		4		SITTING          		0.2571976		-0.003502998		-0.09835792		-0.971010121		-0.856617812		-0.87511018
 3		5		STANDING         		0.2800465		-0.014337656		-0.10162172		-0.966742543		-0.893449307		-0.91141902
 3		6		LAYING           		0.2755169		-0.018955679		-0.10130048		-0.982776639		-0.962057545		-0.96369103
 4		1		WALKING          		0.2785820		-0.014839948		-0.11140306		-0.440829971		-0.078826737		-0.58625281
 4		2		WALKINGUPSTAIRS  		0.2708767		-0.031980430		-0.11421946		-0.204933043		-0.066689911		-0.37213778
 4		3		WALKINGDOWNSTAIRS		0.2799653		-0.009802009		-0.10677752		 0.011193550		-0.218598325		-0.47918598
 4		4		SITTING          		0.2715383		-0.007163065		-0.10587460		-0.980309931		-0.890223981		-0.93220301
 4		5		STANDING         		0.2804997		-0.009489111		-0.09615749		-0.976920580		-0.861597379		-0.89688054
 4		6		LAYING           		0.2635592		-0.015003184		-0.11068815		-0.954193739		-0.941714042		-0.96266731
 5		1		WALKING          		0.2778423		-0.017285032		-0.10774178		-0.294098534		 0.076748403		-0.45702144
